darija,eng,darija_ar
Tab3an rah mkta2eb!,of course he's depressive!,طابعان راه مكتاءب!
"chokran, a lalla","Thank you, ma'am","شوكران, أ لالّا"
ach kay3ni hadchi?,what is that meant to be?,أش كايعني هادشي?
tan8Dr 3la mrrakch,I'm talking about Marrakech,تانهضر علا مرّاكش
wach nti 7m9a!,are you crazy!,واش نتي حمقا!
khssni nmchi daba,I have to go now,خسّني نمشي دابا
"layskher, ana m3ak","Okay, I'm with you","لايسخر, أنا معاك"
ach bghiti m3ah?,What do you want with it?,أش بغيتي معاه?
tjowwjo Sghar bzzaf,They got married very young,تجووّجو صغار بزّاف
maghanTyyboch makla Talyania,we are not preparing an italian meal,ماغانطيّبوش ماكلا طاليانيا
matreddedch trje3 3ndi,do not hesitate to come back to me,ماتردّدش ترجع عندي
3afak 7tarem l9awa3id,please respect the rules,عافاك حتارم لقاواعيد
makan3rfoch 3lihom bzzaf,we don't know much about them,ماكانعرفوش عليهوم بزّاف
7na chi 50,We're about 50.,حنا شي 50
makattsame7ch m3a lbsala,She doesn't tolerate mediocrity.,ماكاتّسامحش معا لبسالا
kayballik ana kan7ma9?,You think I'm going crazy?,كايبالّيك أنا كانحماق?
dima nefs SSout?,Is it always the same voice?,ديما نفس الصوت?
"ghaliban, bach inta9doni","Often, it's to criticize me.","غاليبان, باش إنتاقدوني"
kifach n9der n3awnek?,How may I assist you?,كيفاش نقدر نعاونك?
hadchi tayban mo8imm.,That could be interesting.,هادشي تايبان موهيمّ.
n9der n9echcher bTaTa.,I can peel the potatoes.,نقدر نقشّر بطاطا.
kayjib lia jjou3!,It makes me hungry!,كايجيب ليا الجوع!
ghanmchi l Tanja,I'll go to Tangier,غانمشي ل طانجا
ach ballik flakhor?,What about the other one?,أش بالّيك فلاخور?
hadchi kayban mzyan.,That should be good.,هادشي كايبان مزيان.
kidayr had llila?,How are you tonight?,كيداير هاد الليلا?
kan7ess brasi biikhir,I feel very good,كانحسّ براسي بيّخير
wach kat7ess bih?,Can you feel that?,واش كاتحسّ بيه?
ghannzlo f Pakistan,We're gonna land in Pakistan,غانّزلو ف پاكيستان
ahya ach hadchi,oh what is this,أهيا أش هادشي
ala kenna ghanmoutou,If we are going to die,ألا كنّا غانموتو
wach nSelliw mjmou3in,Shall we pray together,واش نصلّيو مجموعين
ghangollihom rah tan7bb8om,I will tell them I love them,غانڭولّيهوم راه تانحبّهوم
nari hadchi kaykhle3,"Oh, my God, that's horrible",ناري هادشي كايخلع
7na f 2aman!,We're safe!,حنا ف أمان!
"oh, hadchi zine","Oh, that's cool","أُه, هادشي زين"
ach kay3ni dakchi?,What does that mean?,أش كايعني داكشي?
bllati nDreb Tlila,Let me have a look,بلّاتي نضرب طليلا
"lla, mazal ma7llito","No, I haven't opened it yet","اللا, مازال ماحلّيتو"
7lliti dyalk mazal?,Have you opened yours yet?,حلّيتي ديالك مازال?
"wayeh, 3chrani mblokayin","Yes, my comrades are blocked","وايه, عشراني مبلوكايين"
wach bdat l7iSSa?,Has class started?,واش بدات لحيصّا?
mcha 3lia Tobis,I missed my bus today,مشا عليا طوبيس
sir tn3s bkri,get to bed early,سير تنعس بكري
