darija,eng,darija_ar
ara lia dak sac.,hand me that bag.,أرا ليا داك ساك.
"ssimana jjaya, nhar lkhmis","Next week, on Thursday","السيمانا الجايا, نهار لخميس"
ewa bda l9raya bkri!,so start studying soon!,إوا بدا لقرايا بكري!
kifach ktabk ghay3awnni nt8dden,how is your book going to help me calm down,كيفاش كتابك غايعاونّي نتهدّن
bjojna tankhafo mn TTayaran,we're both scared of flying,بجوجنا تانخافو من الطاياران
hadchi kollo lghalaT dyalk,it's all your fault,هادشي كولّو لغالاط ديالك
rah ghatjowwej simana jjayya.,she is getting married next week.,راه غاتجووّج سيمانا الجايّا.
TTwal b Tabi3t l7al,long ones of course,الطوال ب طابيعت لحال
tberre3 lia m3a rask!,enjoy!,تبرّع ليا معا راسك!
knt ghan9tare7 hadchi ta8owa,I was going to suggest that too,كنت غانقتارح هادشي تاهووا
khllini ngollik wa7d l7aja,let me tell you something,خلّيني نڭولّيك واحد لحاجا
"ghangollik wahd lhaja, kat3jbni!","I'll tell you one thing, I like it!","غانڭولّيك واهد لحاجة, كاتعجبني!"
"wayeh, ghandir hadchi tahoa","Yeah, I'm gonna do that, too.","وايه, غاندير هادشي تاهوا"
hi 9bl manmchi nn3ess,just before going to bed,هي قبل مانمشي النعسّ
ana mt2ekked ghat7essen 9ariban,I'm sure it'll be better soon.,أنا متءكّد غاتحسّن قاريبان
"wayeeh, bzzaf dyal nnas","Ah yes, that is a lot of people","واييه, بزّاف ديال الناس"
knna chi 3chrin wa7d,we were about twenty people,كنّا شي عشرين واحد
imken chi wahd fihoum,maybe one of them,إمكن شي واهد فيهوم
"7rfyyan, lbab dyalo msdoud","Literally, his door is locked.","حرفيّان, لباب ديالو مسدود"
"gltha lik, rah mra.","I told you, it's a woman.","ڭلتها ليك, راه مرا."
799e9t l a8daf dyali.,I hit my targets.,حقّقت ل أهداف ديالي.
"lla, tta wahd makan3arfo.","No, no one I recognize.","اللا, التا واهد ماكانعارفو."
ach w9e3 fdak lwe9t?,What happened back then?,أش وقع فداك لوقت?
hadi t9dr tkon taarikhia,This one may be historic,هادي تقدر تكون تاريخيا
tansm3o 3lih bzzaf daba,we're hearing a lot about it right now,تانسمعو عليه بزّاف دابا
fsser o 3erref lmaydan,explain and define the field,فسّر أُ عرّف لمايدان
