darija,eng,darija_ar
tayballia ghanmchi!,I think I'm going to leave!,تايبالّيا غانمشي!
knt 3arfha!,I knew it!,كنت عارفها!
a rebbi!,oh god!,أ ربّي!
wach matatfkkerch?,Don't you think?,واش ماتاتفكّرش?
wach kbir?,is it big?,واش كبير?
kimma 9tar7ti,As you suggested,كيمّا قتارحتي
kimma katgoul,as you say,كيمّا كاتڭول
kangoul ah,I'd say yes,كانڭول أه
mttaf9 m3ak,I agree with you,متّافق معاك
ach ballik?,what do you think?,أش بالّيك?
ach ghandir?,What do I do?,أش غاندير?
"Safi, fhmtek.","ok, I get it.","صافي, فهمتك."
"ah, ghaaliban","Yeah, probably.","أه, غاليبان"
kay3jbni bzzaf.,I admire him very much.,كايعجبني بزّاف.
"mra, tayballia","A lady, I think.","مرا, تايبالّيا"
zwina bzzaf,Very beautiful,زوينا بزّاف
"ah, kayna.","Yes, it is.","أه, كاينا."
ayeh amoulay,"Yes, sir.",أيه أمولاي
"ah, fhemtek.","Yes, I understand.","أه, فهمتك."
Tab3an lla.,Of course not.,طابعان اللا.
2000 klma,2000 words,2000 كلما
"ah, wakha.","Ah, ok.","أه, واخا."
ghankhdmo mjmou3in,We're going back to work together,غانخدمو مجموعين
ba9i l7al!,It's early!,باقي لحال!
ayeh amoulay.,"Yes, sir.",أيه أمولاي.
"ah, ssmou7at.","Yes, sorry.","أه, السموحات."
"a7, smou7at","Oh, sorry","أح, سموحات"
ma9dertch nl9ah!,I can't find it!,ماقدرتش نلقاه!
S7ablik salina,you thought it was over,صحابليك سالينا
makayn bas,That's fine,ماكاين باس
llah i3awnek,God help you,اللاه إعاونك
ana bikhir.,I'm fine.,أنا بيخير.
Safi 9ne3tini,"Okay, you convinced me",صافي قنعتيني
hadchi taykhle3,It's terrifying,هادشي تايخلع
"walakin, bllati!","But, wait!","والاكين, بلّاتي!"
wach mti99en?,Are you sure?,واش متيقّن?
"fchkeel, awlla?","It's weird, isn't it?","فشكيل, أولّا?"
hahoa kaySoni....,It's ringing....,هاهوا كايصوني....
kayTll3oha 3lina!,They're taunting us!,كايطلّعوها علينا!
maglti 3lib.,All right.,ماڭلتي عليب.
ach ballik?,What do you think?,أش بالّيك?
"wayeh, Thlla","Yes, goodbye","وايه, طهلّا"
ma3ndi zher,I am not lucky,ماعندي زهر
hadchi komik,it's fun,هادشي كوميك
hia hadik.,that's correct.,هيا هاديك.
ma8ia hadikch.,that's not correct.,ماهيا هاديكش.
"ah, darouri.","Yes, of course.","أه, داروري."
salam madame.,"Hello, ma'am.",سالام مادام.
a tl9na,Hurry up,أ تلقنا
hadchi mamzyanch.,That's too bad.,هادشي مامزيانش.
ljtima3 ttlgha,The meeting was canceled,لجتيماع التلغا
skhon bzzaf...,It is very hot...,سخون بزّاف...
maglti 3ib,fair enough,ماڭلتي عيب
