eng,darija_ar,transl
"Okay, if I have any questions, could I email them to you?","واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل?","And if I don't have any questions, should I send them to you by email?"
if one of the team-members has something to say,ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول,"If someone has a different opinion, he must have a valid reason."
do you feel unable to reach the expected targets?,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?,Do you feel like you can't reach the goals you relied on?
things that you feel may have been caused by something you did,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها,Some things make you feel you can be because of something you did.
I believe this is the first time we've used this thing,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا,This is the first time we have worked on this project.
"And frankly, do you think they'll open the plane doors and let us jump?","و صاراحاتان, واش كاتضنّ غايحلّو لبيبان ت طيّارا ويخلّيونا النقّزو?","By the way, do you think they will let us ride the plane and experience flying?"
"You know, from where we fall, it doesn't make much difference","عرفتي شنو, من لبلاصا مناش طحنا, ماكاينش شي فرق كبير","You know what, from this point on, we won't fall, there isn't a big difference."
I'm quite glad it's mine coming and not yours,أنا فرحان شويا بي أنّاهو ديالي اللي جاي ماشي ديالك,"I'm a little happy that my friend is coming, not yours."
It was the only way to get them to give us back our food,كانت هاديك هيا طاريقا لواهيدا باش نجعلوهوم إردّو لينا ماكلتنا,That was the only way to get them to bring us our food.
But you're lucky I was able to do my homework last Thursday,والاكين عندك الزهر ڭدّيت نصاوب التامارين ديالي لخميس اللي فات,"I forgot to water my flowers, so I will do it this Thursday."
You should put Facebook and any other diverting social media sites away,خسّك تبعّد عليك فاسبوك أُ ڭاع ماواقيع تاواصول لجتيماعي لخرين,It's better to stay away from Facebook and social media to avoid negative interactions.
Would it not be better if we think about something positive and fun?,واش ماشي حسّن أنّانا نفكّرو فشي حاجة إجابيا أُ كاتنشّط,Isn't it better that we think about something positive that motivates us?
I think they know it's stuck and will start winching it down to the floor below soon,كانضنّ أنّهو مبلوكي أُ غايبداو إجرّوه اللتحت من دابا شويا,"I think he's upset, let's give him some space for now."
"No, I haven't felt sociable or confident around people","لا, ماتانحسّش براسي جتيماعي أُلا واتق من نفسي فوست الناس","No, I don't feel comfortable in social gatherings and I tend to isolate myself from people."
"Food can have a very important effect on how you feel, you know.","لماكلا إقدر تكون عندها أتار كبير علا كيفاش كاتحسّ, فراسك.","No matter how big of a impact she may have on you, prioritize yourself."
"If we can eat one piece of bread in the water, then we get 20 points","ألا قدرنا ناكلو طرف تلخوبز فلما, ديكسّاع غاناخدو 20 نوقطا","We managed to eat a piece of pizza each, the bill came to 20 dirhams."
Oh you had better get on and get some handsome men invited then!,"أه, إوا حسن ليك تنوضي أُتعرضي علا شي رجال زوينين!","Wow, you're good at attracting and getting the attention of handsome men!"
"I'm really happy tonight, I'm throwing a party at my house!","أنا ناشط بلمعقول هاد الليلا, غاندير شي حفلا ف الدار!","I'm feeling energetic tonight, I might throw a party at home!"
"I know it's a little late for the organization, but... it's my birthday!","فراسي مشا لحال شويا علا التنضيم, والاكين... راه عيد ميلادي!","My head went alone for a bit on organizing, and the cake... it's my birthday!"
Do you have any idea how to make sauce without salt that is good?,عندك شي فيكرا كيفاش كاتصاوب صوص بلا ملحا اللي زوينا?,Do you have any idea how to make a tasty sauce without salt?
