eng,darija_ar,transl
I think I'm going to leave!,تايبالّيا غانمشي!,He/she will come to me tomorrow!
I knew it!,كنت عارفها!,I knew it!
oh god!,أ ربّي!,Oh my God!
Don't you think?,واش ماتاتفكّرش?,Don't you think?
is it big?,واش كبير?,Is it big?
As you suggested,كيمّا قتارحتي,As you suggested
as you say,كيمّا كاتڭول,As you wish
I'd say yes,كانڭول أه,I swear
I agree with you,متّافق معاك,I agree with you.
what do you think?,أش بالّيك?,What's wrong with you?
What do I do?,أش غاندير?,What should I do?
"ok, I get it.","صافي, فهمتك.","Clear, I got you."
"Yeah, probably.","أه, غاليبان","Oh, it's expensive."
I admire him very much.,كايعجبني بزّاف.,I really like it.
"A lady, I think.","مرا, تايبالّيا","Wow, he's amazing"
Very beautiful,زوينا بزّاف,It's very beautiful.
"Yes, it is.","أه, كاينا.","Oh, there is."
"Yes, sir.",أيه أمولاي,"Yes, my lord."
"Yes, I understand.","أه, فهمتك.","Oh, I understand you."
Of course not.,طابعان اللا.,It's not worth it.
2000 words,2000 كلما,2000 times
"Ah, ok.","أه, واخا.","Oh, okay."
We're going back to work together,غانخدمو مجموعين,They work together.
It's early!,باقي لحال!,Still alone!
"Yes, sir.",أيه أمولاي.,"Yes, my lord."
"Yes, sorry.","أه, السموحات.","Oh, sorry."
"Oh, sorry","أح, سموحات","Oh, sorry."
I can't find it!,ماقدرتش نلقاه!,I couldn't find it!
you thought it was over,صحابليك سالينا,My friends asked us.
That's fine,ماكاين باس,There is no problem.
God help you,اللاه إعاونك,May God help you.
I'm fine.,أنا بيخير.,I am fine.
"Okay, you convinced me",صافي قنعتيني,You convinced me
It's terrifying,هادشي تايخلع,This is annoying.
"But, wait!","والاكين, بلّاتي!","Of course, absolutely!"
Are you sure?,واش متيقّن?,Are you sure?
"It's weird, isn't it?","فشكيل, أولّا?","What's the plan, first?"
It's ringing....,هاهوا كايصوني....,He's ignoring me...
They're taunting us!,كايطلّعوها علينا!,They are showing it to us!
All right.,ماڭلتي عليب.,You forgot your bag.
"Yes, goodbye","وايه, طهلّا","Yes, exactly"
I am not lucky,ماعندي زهر,I don't have any money.
it's fun,هادشي كوميك,This is funny
that's correct.,هيا هاديك.,Here you go.
that's not correct.,ماهيا هاديكش.,It's not that one.
"Yes, of course.","أه, داروري.","Oh, of course."
"Hello, ma'am.",سالام مادام.,"Hello, as long as."
Hurry up,أ تلقنا,Let's go
That's too bad.,هادشي مامزيانش.,This is not good.
The meeting was canceled,لجتيماع التلغا,The meeting was canceled.
It is very hot...,سخون بزّاف...,It's very hot...
fair enough,ماڭلتي عيب,Your behavior is inappropriate.
"Yes, with pleasure!","أيه, مرحبا!","Yes, hello!"
last one there has to pay,اللخر إخلّص,Let it go
That's great.,هادشي مبرّع.,This is confusing.
It's so interesting.,هادشي موهيمّ.,This is important.
I'll take that as a yes.,غانعتابرها أه.,He considers it as such.
I'm impressed.,أنا نباهرت,I am impressed.
"Ah, it stopped.","أه, وڭفات.","Oh, really."
Open that.,حلّ هادا.,Solve this.
That's confusing.,هادشي كايتلّف.,This is confusing.
Sometimes.,مرّا مرّا.,Very much.
Did you enjoy them?,ستمتعتي بيهوم?,Did you enjoy it?
"No, for lunch.","اللا, فلغدا.","No, tomorrow."
on your side?,من جيهتك?,What about you?
"Very well, thank you","مبرّع, لايحفدك","Stubborn, it won't benefit you."
It's scary.,هادشي كايخلع.,This is annoying.
We have to hurry!,خسّنا نسربيو!,Let's go quickly!
Do you play sports?,كاتلعب الرياضا?,Do you play sports?
"Yes, I see.","أه, فهمت.","Oh, I understand."
You got the map?,عندك لخاريطا?,Do you have a map?
you want some?,بغيتي شويا?,Do you want some?
Yes please.,أيه لايحفدك.,"Yes, it won't benefit you."
What's going on?,أش واقع?,What's up?
"Yes, of course.","أيه, طابعان.","Yes, exactly."
"No, not at all.","لا, باتاتان.","No, potatoes."
He has a good sense of humor!,قشّابتو واسعا!,His smile is wide!
You have cheered me up no end.,نشّطّيني مزيان.,You energize me well.
I'm glad.,أنا ناشط.,I am active.
20 points,20 نوقطا,20 points
Sit here,ڭلس هنا,Come here
"Oh no, they're too cute","ألّا, كايحمّقو","No, they are acting foolish."
"Yes, please do.","أه, تفضّل.","Oh, please."
It's not fair!,ماشي معقول!,Unbelievable!
"Goodbye, sir.",فيدلاه نعاماس,He helped him.
Don't you know it?,واش ماعرفتيهاش?,Didn't you know it?
I didn't dare ask him,مازعمتش نسووّلو,I didn't claim we should do it.
I'll ask him.,دابا نسوّلو.,Now let's do it.
Do you cycle?,كادّير پيكالا?,What are you doing?
"Yes, please.","أيه, مرحبا.","Yes, hello."
especially in a city,خوصوصان فلمدينا,Especially in our city.
On your left!,علّيسر ديالك,On your left
That's my girl.,هادي بنتي.,This is my daughter.
Of course not!,طابعان اللا!,Absolutely not!
It's a bit stupid,شويا غابييّا,A little absent-minded
"Well, hurry up.",إوا تلقنا.,Let's go.
Is it coming?,واش جاي?,What's up?
Best joke ever,أحسان نوكتا,Good night.
When have I cheated?,إمتا غشّيت!,When did you cheat!
Excuse me?,سمح ليا?,Excuse me?
"Okay, great!","واخا, مزيانا!","Okay, that's good!"
Thank you too!,شوكران تانتا!,Thank you very much!
Now for music?,دابا لموسيقا?,What about the music?
What's up?,أش كاين?,What's up?
Ha ha no!,هههه اللا!,"Hahaha, no way!"
I know I couldn't.,فراسي مانڭدّش.,I don't care about it.
Silly people.,بنادم عابيط.,He's a silly person.
I empathize with him,بقا فيا,It's in me.
I empathize with her,بقات فيا,It got to me
what's your name,شنو سميتك,What's your name?
what's up,أش كاتعاود,What are you doing?
where are you,أ فينك,Where are you?
where are you going,فين غادي,Where are you going?
how are things going,أش خبارك,How are you?
everything is ready,كولشي واجد,Everything is fine.
I will pay,دابا نخلّص,Now let's finish.
I am moroccan,أنا مغبريبي,I am Moroccan.
I am cold,جاني لبرد,I caught a cold.
I am good,أنا بيخير,I am fine.
I'm not sure,أنا مامتءكّدش,I'm not sure.
where were you,فين كنتي,Where were you?
give me a call,دوّر ليا,Find it for me.
where do you work,فين خدّام,Where is the servant?
is it far?,واش بعيد?,Is it far?
is it hot?,واش سخون?,Is it hot?
should I wait?,واش نتسنّا?,Are you waiting for us?
what is this?,أش هادشي?,What is this?
where are you from?,منين نتا?,Where are you from?
which one?,شكون فيهوم?,Who are they?
I am ready,أنا واجد,I'm tired.
I need to go,خسّني نمشي,Let me go
you are right,عندك لحقّ,You are right.
I am hungry,فيا الجوع,I'm hungry.
I am thirsty,فيا لعطش,I'm thirsty
good idea,فيكرا زوينا,He/she thinks well.
point of view,ويجهات ناضار,Beautiful landscapes
you know,عرفتي شنو,Do you know what?
spend time,دووّز لوقت,Manage your time
leave him alone,عتيه بتّيساع,Give it a try
leave her alone,فوتها عليك,You missed it
I just got back.,يالّاه رجعت.,"Oh, he's back."
How was your day?,كيداز نهارك?,How's your day going?
It was hard!,كانت صعيبا!,It was difficult!
It's very good.,زوين بزّاف.,Very nice.
What do you suggest?,أش كاتقتارح?,What are you suggesting?
It's perfect!,هادشي ميتالي!,This is amazing!
"Bon appétit, of course!","بصحّا, بلفيعل!","Yes, indeed!"
Call who?,ندوّرو لمن?,Where should we go?
What about your phone?,أُ تيليفونك?,Your phone number?
And you?,أُ نتا?,And you?
Stop right there!,وڭف تمّا!,"Wow, amazing!"
so let us do it,إوا يالّاه,Let's go
i'm listening,هاني كانسمع,I can hear
They look delicious!,تايبانو بنان!,They seem happy!
You can't eat them!,مانڭدّش ناكلهوم!,Let's not eat them!
3yyeT 3lih,كالّ هيم,Like always
3yyeT 3liha,كالّ هر,Like a cat
3yyeT 3lihom,كالّ تهم,It's all good.
Beneath the stars!,تحت النجوم!,Under the stars!
I got matches!,عندي لوقيد!,I have a problem!
Where are the onions?,فيناهيا لبصلا?,Where is the bathroom?
I shouldn't wait!,ماخسّنيش نتسنّا!,I can't wait to see you!
Don't overheat them.,ماتسخنهومش بزّاف.,Don't heat it up too much.
They'll burn.,غادي إتحرڭو.,They will get angry.
be careful,ردّ لبال,Pay attention
Don't worry,ماتهزّش لهمّ,Don't pay attention to them.
everyone knows it,كولشي كايعرفها,Everyone knows it.
good idea,فيكرا مزيانا,He thinks well.
he likes it very much,كاتعجبو بزّاف,He likes it a lot.
he's right,عندو لحقّ,He is right.
he's famous,هوا مشهور,He is famous.
I don't speak very well,ماكانهضرش مزيان,He didn't speak well.
I don't want to bother you,مابغيتش نبرزطك,I don't want to bother you.
I feel good,كانحسّ برّاحا,I feel relieved.
I have a headache,فيا الشقيقا,"Come on, brother."
I'll take it,دابا نهزّها,Now let's dance
I'm an American,أنا ميريكاني,I am American
I'm a Moroccan,أنا مغريبي,I am Moroccan
I'm going to leave,أنا غانتحرّك,I will move
I'm going to leave,أنا غانمشي,I'm going for a walk.
I'm happy,أنا فرحان,I am happy.
I'm married,أنا مجووّج,I am married
just a little,هير شويا,Wait a little
let me check,بلّاتي نشوف,Let's see
next time,لمرّا الجايّا,Next time
"no, thank you","لا, شوكران","No, thank you."
not recently,ماشي موءخاران,It's not a problem.
please write it down,لايخلّيك كتبها,Don't forget to write it.
right here,هير هنا,Come here
right there,هير تمّا,He's busy
see you tomorrow,نشوفوك غدّا,See you tomorrow.
see you tonight,نشوفوك فلّيل,See you later.
she's pretty,هيا زوينا,She is beautiful.
take a chance,ستاغلّ لفورصا,He missed the opportunity
thank you very much,شوكران جازيلان,Thank you very much
that's enough,هادشي كافي,This is enough.
that's it,هادا ماكان,That wasn't it
they'll be right back,هاهوما جايّين,Here they come.
they're very busy,راهوم مشغولين,They are busy.
this doesn't work,هادشي ماخدّامش,This doesn't work.
"very good, thanks","مبرّع, شوكران","You're welcome, thank you."
we like it very much,عاجبنا بزّاف,We really like it.
you're beautiful,نتي زوينا,You are beautiful.
you're beautiful,نتا زوين,You are beautiful.
go straight ahead,سير نيشان,Keep going
they arrived yesterday,وصلو لبارح,They arrived yesterday.
turn left,دور علّيسر,Look on the right
turn right,دور علّيمن,Look for me
when does he arrive,إمتا وصل,When did he arrive?
when do we arrive,إمتا غانوصلو,When will they arrive?
where is she from,منين هيا,Where is she from?
why not,علاش اللا,Why not?
will you remind me?,غادي تفكّرني?,Are you going to remember me?
how are you paying,كيفاش غاتخلّص,How will you manage to finish it?
how much does it cost,شحال دايرا,How are you doing?
how much does it cost,شحال كاتسوا,How are you doing?
I don't have a girlfriend,ماعنديش ساحبتي,I don't have my umbrella.
I have a reservation,أنا مريزيرڤي,I am confused.
I'll pay for dinner,غانخلّص لعشا,He's preparing dinner.
I don't have any money,ماعنديش فلوس,I don't have money.
is that ok?,هادشي مزيان?,Is this good?
it's 10:30,هادي 10:ع0,This costs 10 dirhams.
be quiet,كون مهدّن,I am tired.
how far is it,بشحال بعيدا,How far?
it's near the supermarket,حدا سوپرمارشي,Someone went to the supermarket.
I was in the library,كنت فلمكتابا,I was in the library.
what's the address,شناهيا لادريسا,"What's up, teacher?"
who won,شكون ربح,Who won?
here is my number,هاهيا نمرتي,Here is my number.
I'll teach you,دابا نقرّيك,Now I will hit you
my cell phone doesn't work,تيليفوني ماخدّامش,My phone is not working.
what's wrong,شنو لموشكيل,What's the problem?
who are you,شكون نتا,Who are you?
who's that,شكون هادا,Who is this?
I appreciate that,كانقدّر هادشي,I can do this.
Until now.,حتال دابا,See you later
Good idea!,فيكرا مزيانا!,You look great!
"Oh, no.",هالعار تلّاه,This is embarrassing.
Never mind.,ماشي موشكيل,It's not a big deal.
I'm scared.,أنا مخلوع,I am exhausted.
That's sad!,هادشي موحزين,This is sad.
But don't worry!,ماتهزش لهم,Don't pay attention to them.
Why bother?,علاش لعاداب?,Why the fuss?
What do you mean?,أش كاتقصض?,What are you doing?
Why me?,علاش أنا?,Why me?
Like that?,بحال هاكّا?,Like this?
Where do I start?,منين نبدا?,Where do we start?
The multiplication tables?,جاداويل الضارب?,Did they find the culprit?
Yes there is that.,أيه كاينا.,"Yes, there is."
Enjoy the rest of your day,نهارك مبروك,Have a nice day
"You too, see you soon.","تانتا, نشوفوك","Alright, see you later."
And pilots!,أُ لپيلوطات,The flip-flops
12:30... i don't get it?,1ء:ع0... مافمتش,I didn't understand
"It's quiet, isn't it?","سكات, اللا?","Shut up, okay?"
Oh sweet jesus.,ياربي السالاما!,Oh my goodness!
You don't smile very often,ماكادحكش بزّاف.,He doesn't work very hard.
"Hi, how are you?","سالام, كيداير?","Hello, how are you?"
What about the food?,أُ لماكلا?,Where are you going?
the food is just mushy,لماكلا رطبا,Eat dates
It is very varied.,داكشي موتاناوّيع.,That's fascinating.
"Oh, right.","أُه, بسّاح.","Oh, really?"
And the music?,أُ لموسّيقا?,Do you like music?
I do play the piano,كانلعب لپيانو,He used to play the piano.
How are you doing?,كيداير نتا?,How are you doing?
That's good to know.,هادشي مزيان.,This is good.
I like the sun.,كاتعجبني شمش.,I like the sun.
I want sun.,بغيت شمش.,I want sunglasses.
Yes I can do that for you.,أيه مرحبا.,"Hey, welcome."
What's it like?,كيداير هادشي?,What is this?
"No, thanks.","اللا, شوكران.","No, thank you."
"Yes, thank you.","أيه, شوكران.","Yes, thank you."
How are you?,شكون نتا?,Who are you?
You look great!,راك منوور!,You're shining!
And it's free!,أُ فابور!,Oh my goodness!
It's a secret!,هادا سير!,This is awesome!
You're not supposed to know!,ماخاصّكش تعرفي!,It's none of your business!
Here's Amina.,هاهيا أمينا.,Here is our trusty.
Lots of it!,بزّااف منها!,A lot of it!
That's horrible!,هادشي خايب!,This is disappointing!
Take the basket.,خود السلّا.,Take care.
"Yes, it is.","أيه, كاينا.","Yes, there is."
There are none left.,مابقا والو.,It's no longer there.
Great.,يا سالام.,"Wow, that's amazing."
Is it full?,واش عامرا?,Is it full?
Is it hot?,واش سخونا?,Are we going out?
Every week.,كولّا سيمانا.,Every week.
Don't do that!,مادّيرش هادشي!,Don't do this!
Just relax.,غير رتاح.,Just relax.
Thank you so much.,شوكران بزّاف.,Thank you very much.
"You haven't eaten it, have you?","ماكليتيهش, ياك?",Didn't you eat it?
Good morning.,سباح لخير.,Swim for good.
I left him!,تفرقت معاه!,I broke up with him!
My 'friend' hahahaha,'ساحبي' هاهاهاها,"My friend, hahaha"
You didn't even know it!,ڭاعما عرفتيها!,You finally got it!
Very much so.,بزّاف ڭاع.,Too much noise.
I've got the map.,عندي لخاريطا.,I have a map.
And the map.,أُ لخاريطا.,The map.
Too bad.,ليل أسّاف.,What a pity.
I've got a flashlight.,عندي الپيل.,I have an elephant.
Let's go!,يالّاه نمشيو!,Let's go!
I don't know him.,ما كانعرفوش,I don't know.
Not good.,ماشي مزيان.,It's not good.
I have a suggestion.,عندي قتيراح.,I have a headache.
Are you kidding?,واش كاتفلّا?,Are you feeling better?
Do we have a deal?,واش تافقنا?,Did we agree?
Oh thanks.,أُه شوكران.,"Oh, thank you."
What would you like?,أشنو بغيتي?,What do you want?
Take pictures.,ضرب تصاور.,To take pictures.
What do you suggest?,أشنو كاتقتارح?,What are you planning?
If you want!,إلا بغيتي!,If you want!
Have you eaten yet?,واش كليتي?,Did you eat?
How does it taste?,كيجاك لماداق?,When are you coming back?
I haven't been there.,ماكنش تمّا,It didn't happen
I haven't finished eating.,ماكمّلتش لماكلا.,I didn't finish my meal.
Where is an ATM?,أشناهوا أطم?,What is he doing?
Which one?,أشمن واهد?,What's wrong with you?
Are you hungry?,فيك الجوع?,Are you hungry?
Are you working Tomorrow?,خدّام غدّا?,Are you working tomorrow?
Business is good,لخدما مزيانا,The service is good.
Do you like the book?,عجبك لكتاب?,Did you like the book?
Excuse me.,سمح ليا.,Excuse me.
Give me a call.,دوّر ليا.,Look for me.
How much would you like?,شحال بغيتي?,How much do you want?
I don't feel well,ماكانحسّش مزيان,I didn't feel good.
I'm 32,عندي 32,I am 32 years old.
I'm Marrakchi,أنا مرّاكشي,I am from Marrakech.
I'm not afraid.,أنا ماخايفش.,I'm not afraid.
I'm sick,أنا مريض,I am sick.
It's not very expensive.,ماغاليش بزّاف.,It's not too expensive.
I've been there.,كنت تمّا.,I was there.
Let's share.,يالّاه نقسمو,Let's divide it.
My father is a lawyer,لواليد موحامي,My father is a lawyer.
My name is Laarbi,سميتي لاربي,Your name is Larbi.
She's an expert,هيا خابيرا,She is an expert.
This is my mother.,هاهيا لواليدا.,Here you go to your parents.
What do you study?,أش كاتقرا?,What are you reading?
What's your last name?,أشنو كنيّتك?,What's your name?
Where are the t-shirts?,فيناهوما التريكّووات?,Where are the bicycles?
Where did you go?,فين مشيتي?,Where did you go?
Where do you live?,فين ساكن?,Where do you live?
Where were you?,فين كنتي?,Where have you been?
Do you know her?,واش كاتعرفها?,Do you know it?
"Fill it up, please.","عمّرها, لايخلّيك.",She never lets you down.
How much is that?,شحال هاداك?,How much is that?
How much is this?,شحال هادا?,How much is this?
I'm a beginner.,أنا موبتاديء.,I am not a beginner.
I'm just kidding,هي كانضحك,She was laughing.
I'm single,أنا مامزووّجش,I am not married.
It's not too far,مابعيدش بزّاف,Not too far
"Sorry, we don't have any","أعتادير, ماعندناش",We're not used to it.
The books are expensive.,لكتوبا غاليين.,Books are expensive.
What size?,شمن تايلّ?,Where are you from?
Can you help me?,واخا تعاونّي?,Will you help me?
Can you show me?,تقدّ تورّيني?,Can you show me?
Don't do that,مادّيرش هاكّاك,Don't do it like that.
Do you smoke?,واش كاتكمي?,Are you coming?
I can swim,كانقدر نعوم,I can do it
I can't hear you clearly,كانسمعك مزيان,I can hear you well.
I don't mind,ماعندي سوق,I don't have money.
I trust you.,كانتيق فيك.,I believe in you.
I understand now.,فهمت دابا.,I understand now.
Please sit down,عافاك ڭلس,"Please, be quiet."
That's wrong.,هادشي غالاط.,This is nonsense.
Try to say it,جرّب تڭولها,Try it out.
Why are you laughing?,علاش كاضحك?,Why are you laughing?
Are you ready?,نتا واجد?,Are you serious?
I don't care.,ماعندي كاسار.,I don't have any change.
I got in an accident.,درت كسيدا.,I made a mistake.
I have a cold.,دربني لبرد.,Show me the way to the cold.
I'm a teacher,أنا أُستاد,I am a teacher.
I still haven't decided,مازال ماقرّرت,I haven't decided yet.
Behind the bank.,مورا لبانكا.,It's not your business.
Can you swim?,كاتعرف تعوم?,Do you know how to swim?
Do you understand?,واش كاتفهم?,Does he/she understand?
How do you know?,كيفاش عرفتي?,How did you know?
How long is it?,شحال تلوقت?,How are you doing?
The cars are American.,طوموبيلات ميريكانيين.,American cars.
What are you doing?,أش كادّير?,What are you doing?
What are you thinking about?,فاش كاتفكّر?,What are you thinking about?
What do they study?,أش كايقراو?,What are they reading?
What do you have?,أشنو عندك?,What do you have?
What happened?,أش وقع?,What happened?
What is that?,أش داكشي?,What is that?
What's in it?,أش فيها?,What's up?
What's this?,أش هادا?,What is this?
Where did it happen?,فين وقعات?,Where did it happen?
Where did you learn it?,فين تعلّمتيها?,Where did you learn it?
Where is he from?,منين هوا?,Where is he from?
Who are you looking for?,علامن كاتقلّب?,Where are you going?
Who is it?,شكون معايا?,Who is with me?
He's an Engineer,هوا إنڭنيور,He is an engineer.
How's the weather?,كيداير لجوو?,What are you doing?
How was the trip?,كيدازت لخرجا?,Are you ready to go out?
I'm good.,أنا مزيان.,I'm good.
I'm ready.,أنا واجد.,I'm tired.
Where did you put it?,فين حطّيتيه?,Where did you put it?
Where does it hurt?,فين كايضرّك?,Where does it hurt?
Come here,أجي لهنا,Come here.
How's business?,كيدايرا لخدما?,Is he doing the work?
Is it close?,واش مسدود?,Is it blocked?
