eng,darija_ar,transl
"We will have an exam, if that is what you mean","غايكون عندنا متيحان, ألا هادشي اللي قصدتي","We will have options available, is that what you meant?"
But I will only answer them during working hours,والاكين غانجاوب عليهوم فل أوقات ت لخدما,But I will answer them at work most of the time.
so please don't send them late on Wednesday evening,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,"Please, don't mess with them, I have a busy day on Wednesday."
And in case of accidents we're supposed to do what?,و فحالات وقعات كسيدا أش خسّنا نديرو?,"In situations like these, what should we do?"
I suggest you listen more and talk less,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ,You should listen more than you talk.
just get on and don't talk so much,وا هير تلقنا أُ باراكا من لهضرا,"Oh, we just received a blessing from the conversation."
or at least a step in the right direction,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح,He told me to take steps in the right direction.
Are there any other managers on her level,واش كاينين موديرات خرين فنفس لموستاوا ديالها,Are there any directors who are similar to their characters?
do you know people you can talk to easily?,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,Do you know people you can talk to about it?
but I don't have anything to celebrate,والاكين أنا ماعندي التا حاجا نحتافل بيها,But I don't have anything special to celebrate.
this is an excellent way to improve work relationships,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما,This is a good way to improve your relationships at work.
Feel free to come back if you still have questions.,عاود دوز ألا باقي عندك شي أسإلا.,Check again if you have any other questions left.
Are we talking about British or French politics?,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?,Do you prefer British or French politics?
You will have to get to know the kitchen better or you will slow us all down,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,"I think you know how to cook well, otherwise we will all be in trouble."
"They're different sizes, colors and flavor",هوما مختالفين فلقدّ أُ فلّون أُ فلماداق,"They are different in taste, color, and texture."
If we survive maybe we can get back home early,ألا بقينا عايشين إمكن نرجعو لدّار بكري,"If we stay alive, maybe we can go back to Bakri's house."
Forget about the children it is too late for them,نسا عليك الدراري راه مشا عليهوم لحال,"Forget about the money, he went on his own."
But why are you walking around with a parachute on you?,والاكين مالك كاتمشّا أُ لابس ل پاراشوت?,Why are you wearing a parachute if you're not jumping?
Hug me close and we can land safely together,عنّقني مزيان أُ راه غانهبطو بيسالام مجموعين,Hug me nicely because we're going to part ways peacefully.
"There is no ocean below us, only Pakistan","ماكاين التا بحر تحت منّا, هير پاكيستان","There's no sea beneath us, we're in Pakistan."
"At least it'll probably be instant, no pain, right?","علّ أقالّ غاتكون بلخفّ, بلا صداع, سافي?","Hopefully the meeting will be smooth, without any issues, okay?"
Or are you just saying that to make fun of me?,أُلّا تاتڭول داكشي هير باش تضحك عليا?,Why do you say that just to make fun of me?
"I'm sorry to bother you with this, but I'm really scared","السموحات تانبرزطك, والاكين أنا راه مخلوع بصّح","I apologize for interrupting you, but I think I am lost."
They even managed to bend my fork,وا هوما ڭاع ڭودّو إتنيو لفرشيطا ديالي,They really took my favorite blanket
Could it be that it has magic powers?,واش إمكن تكون عندها شي قيوا سيحريا?,Is it possible that she has a magical power?
You mean that smell's coming from your present?,كاتقصد أنّا الريحا جايّا من لكادو ديالك?,Are you implying that the wind is coming from your direction?
How about the presents they gave us?,وا أُ دوك ل كوادووات اللي عطاونا?,Where are the keys they gave us?
What do you want to do today if we're alone?,أش بغيتي تدير ليوما ألا كنّا بوحدنا?,What do you want to do today since we're alone?
I came in by car today to avoid the buses.,جيت ف طوموبيل ليوما باش نتفادا طوبيسات.,I came by car today to avoid buses.
"Besides, you were late yesterday, too.",زيد عليها أنّاك كنتي معطّل لبارح تاهوا.,"Moreover, you were absent yesterday."
You're late again. What is your excuse today?,تعطّلتي ليوم تاني. شنو لعودر ديالك ليوم?,You're absent for the second day. What's the reason for your absence today?
Spit out your chewing gum! you know the school rules,دفل ديك لمسكا! راه عرفتي لقاوانين تلمدراسا!,"Wow, you nailed it! You really know the school rules!"
Could you please put that gum in the bin,واخا عافاك تلوح ديك لمسكا ف الزبل,Please don't point at that garbage in the trash.
