eng,darija_ar,transl
I'd like to know how much time I have left to study,بغيت نعرف شحال بقا ليا تلوقت باش نقرا,I wanted to know how much time I have left to study.
and since when have sleeping helped anyone?!,أُ منيمتا بسّالاما النعاس كان كايعاون شي واهد?!,"How peaceful sleep was helping someone, right?!"
"Beets are good, but it might give you a sweet taste.","لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو","She is very beautiful, and she can give you a sweet taste."
Unless you have anything else you would like to add,ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها,Except for that one thing you really want to add
which happens to many people theses days,هادشي تايوقع ل عاداد من الناس هاد ليامات,This happens to a lot of people these days.
the pressure has indeed affected your general emotional state,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك,The pressure actually reveals your true feelings and emotions.
Maybe she is constantly worried about not meeting her targets.,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها.,Maybe she's always afraid her goals won't be achieved.
Do you have colleagues who feel stressed like you?,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك?,Do the people working with you feel the same way as you?
"I work a lot, which allows me to do my job properly.","تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان.","I work a lot, that's what enables me to do my job well."
"Tell me, are you able to do your work with confidence?","ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?","Tell me, can you provide your service with full trust?"
Have you had any unusual or unpleasant experiences recently?,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران?,"Have you experienced any adventures lately, or just in the form of daydreams?"
But there are so many options to choose from.,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.,And the choices you make are the mirrors of those you choose from.
I've really struggled to understand what it is I have to do,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير,I tried my best to understand what mistake I made
I don't know the location of all the ingredients yet,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا,I don't know the location of the store where the products are available now.
Now isn't the time for such questions,دابا ماشي لوقت ديال بحال هاد ل أسإلا,Now is not the time for such questions.
