eng,darija_ar,transl
"Now, I think I've got everything we need to solve this problem",دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل,Now I understand what you need to solve this problem.
"But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.","والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو.","Otherwise, she doesn't drink coffee, nor does she smoke, that's why she gets drunk on beer."
Are there any women around you that you find difficult to deal with?,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم?,Are there any girls giving you a hard time to deal with?
"Would it be possible for you to give me an extension to the deadline, say another two weeks?","واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?","Is it possible for you to lend me a little money, like a couple of hundred dirhams or so?"
Do I present the essay as factual or do I take a political view point?,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?,Should we accept when he says that we should not take sides politically?
I've been asked to write an essay on politics but I don't know where to start,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا,"He asked me to write about politics and economy, but I didn't know where to start."
The only thing I'm asking you to do is keep the bottle of red,لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج,The only thing I asked you to do is to bring it and put it on the table.
"Besides, I'm sure there are people who deserve more than me not to die",عاد زيد أنا متءكّد كاينين ناس كايستاحقّو كتر منّي أنّاهوم مايموتوش,"And I'm sure there are people who deserve more than me, but they don't die."
With the map we would have quickly found the quickest way to the best restaurant in the area.,بلخاريطا كنّا دغيا غالقاو أسراع طريق ل أحسان رستورا ف السيكتور.,"On the map, we found a shortcut to the best restaurant in the sector."
I think we should just make some tea and you should forget about work,كايبالّيا خسّنا نڭادّو شي برّاد ت أتاي أُ نسا عليا لخدما,We need to buy a new fridge for the house because the old one broke down.
I'm trying to text the co-worker at the desk.,هاني كانحاول نسيفت مسّاڭ ل داك اللي خدّام معايا فل بيرو.,I was trying to remember the name of the waiter who was serving me at the bar.
