darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
كلا,eat,No.,eat,No,eat,Eat,eat
شرب,drink,Drink,drink,Drink,drink,Drink,drink
دخل,enter,enter,enter,Enter,enter,Enter,enter
خرج,go out,Go,exit,Go,exit,Go,exit
فهم,understand,Understand,understand,Understand,understand,Understand,understand
شرح,explain,شرح = explain,explain,Explain,explain,Explanation,explain
قرا,learn,read,read,Read,read,Read,read
قرّا,teach,Read,read,Read,read,Read,read
سمع,hear,to hear,hear,Listen,hear,Listen,hear
شاف,see,See,see,See,see,See,see
شم,smell,Smell,smell,Smell,smell,Smell,smell
داق,taste,Taste,taste,Taste,taste,Call,taste
قاس,touch,Measure,measure,Measure,measure,Measure,measure
مشا,go,Go,go,Go,go,Go,go
جا,come,come,come,Come,come,Come,come
طلع,ascend,Go,go out,Go out,go out,Go out,go
نزل,go down,Go down,descend,Go down,descend,Go down,to go down
عام,swim,to do,to live,Live,to bring,Year,to bring
غرق,drown,Drown,drown,Drown,drown,Drowning,drown
لبس,wear,wear,wear,Wearing,wear,Wearing,wear
سلت,take off,Buy,ask,Buy,ask,Throw,ask
شرا,buy,Buy,buy,Buy,buy,Buy,buy
باع,sell,sell,sell,Sell,sell,Sell,sell
تاوا,bargain,Go,to fly,Laugh,to come,Cooking,to come
كتب,write,write,write,write,write,writing,write
مسح,clean,Wipe,wipe,Wipe,wipe,Wipe,wipe
ضرب,hit,Hit,hit,Hit,hit,Hit,hit
تسالم,greet,To thank,to greet,Salam.,to greet,Hello.,to greet
عيا,fatigue,Tired,tire,Give up,tire,Cry,tire
تسخسخ,exhaust,Dance,whisper,To dance,whisper,To whisper,to whisper
ضحك,laugh,Laugh,laugh,Laugh,laugh,Laugh,laugh
جاب,bring,bring,bring,bring,bring,Bring,bring
دار,do,Do,do,Live,to do,House,do
ڭال,say,Say,go,Say,say,Laugh,go
قال,say,دير,say,Said,say,He said.,say
عندو,have,Have,have,He has.,have,He has.,have
شدّ,get,Pull,tighten,Pull,pull,Pull,pull
فكّر,think,Think,think,Think,think,Think,think
با,want,Go,come,Go,come,Go,go
لقا,find,Find,find,Find,find,Find,find
عطا,give,Give,give,Give,give,Give,give
خدم,work,Work,work,Work,work,Work,work
عيط,call,Shout,shout,Shout,call,Shout,call
خاسّ,need,Lose,lose,Lose,lose,Lose,lose
حسّ,feel,Feel,feel,Feel,feel,Feel,feel
ولّا,become,Go,leave,Chill,turn,Chill.,to turn
حطّ,put,Put,put,Put,put,Put,put
عنا,mean,Have,have,Have,have,Have,have
بدا,begin,start,start,Start,begin,Start,start
خسّ,need,Lose,lose,Lose,lose,Lose,lose
عجب,like,Like,like,Like,like,Like,like
عاون,help,Help,help,Help,help,Help,help
عتق,help,Free,free,Freeing,Free,Freeing,free
وجّد,prepare,Find,find,Find,find,Find,find
أمن,believe,Security,believe,Security,Believe,Security,Believe
حاول,try,Try,try,Try,try,Try,try
جرّب,try,Try,try,Try,try,Try,Try
سوّل,ask,Encourage,convince,Encourage,advise,suggest,advise
تفكّر,remember,Think,think,Think,think,Think,think
مشا,leave,Go,go,Go,go,Go,go
بيّن,show,Show,show,Show,show,Show,show
لعب,play,Play,play,Play,play,Play,play
جرا,run,Run,run,Run,to run,Running,to run
جرّا,run,Run,run,Run,run,Run,to run
قرا,read,Read,read,Read,read,Read,read
بدا,start,Start,start,Start,begin,Start,start
سالا,finish,Ask,ask,He asked.,ask,Ask,ask
قطّع,cut,Cut,cut,Cut,cut,Cut,cut
هضر,talk,Speak,speak,Speak,speak,Speak,speak
شكر,thank,Thank.,thank,Thank.,thank,Thanks,thank
بدّل,change,Change,change,Change,change,Change,change
كمّل,continue,Finish,complete,Complete.,Complete,Complete,Complete
فتارض,suppose,Refuse,agree,Refuse,agree,To agree,agree
تمنّا,wish,wish,wish,Wishing,wish,Wish,wish
تبع,follow,Follow,follow,Follow,follow,Follow,follow
قبل,accept,"""before""",accept,Before,accept,Before,accept
رفض,reject,Refuse,refuse,Refuse,refuse,Refuse,refuse
وقع,happen,Fall,fall,Fall,fall,Fall,fall
ڭلس,sit down,Hello,swim,Laugh,swim,Laugh,swim
ربح,win,Win,win,Win,win,Win,win
زاد,add,Increase,increase,Increase,increase,Increase,increase
تعلّم,learn,Learn,learn,Learn,learn,Learn,learn
تسنّا,wait,Wait,wait,Wait,wait,Wait,to listen
سيفط,send,To eat,to open,Fall,Jump,Fall.,to jump
حلّ,open,Solve,solve,Solve,solve,Solve,solve
بنا,build,Build,build,Build,build,Build,build
ختار,choose,Choose,choose,Choose,choose,Choose,choose
وصل,reach,Arrive,arrive,Arrive,arrive,Arrive,arrive
قرّر,decide,Decide,decide,Decide,decide,decide,decide
نشط,enjoy,Activate,activate,Active,activate,Activate,activate
تفرّج,watch,Watch,watch,Watch,watch,Watch,watch
خسر,lose,Lose,lose,Lose,lose,Lose,lose
تمشّا,walk,Walk,walk,Walk,walk,Walk,walk
كبّر,raise,Grow,to grow up,Exaggerate,magnify,Grow,to magnify
تخيّل,imagine,Imagine,imagine,Imagine,imagine,Imagine,imagine
سبّب,cause,Cause,cause,Cause,cause,cause,cause
هرّس,break,Mash,plow,Grind,to plow,Grind,chop
