eng,darija_ar,transl
"We will have an exam, if that is what you mean","غايكون عندنا متيحان, ألا هادشي اللي قصدتي","We will have options available, is this what you meant?"
But I will only answer them during working hours,والاكين غانجاوب عليهوم فل أوقات ت لخدما,But I will answer them at work most of the time.
so please don't send them late on Wednesday evening,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,"Please, don't mess with them, it's not a good idea on Wednesday."
And in case of accidents we're supposed to do what?,و فحالات وقعات كسيدا أش خسّنا نديرو?,"In situations like this, what should we do?"
I suggest you listen more and talk less,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ,You should listen more than you talk.
just get on and don't talk so much,وا هير تلقنا أُ باراكا من لهضرا,"Oh, we just received a blessing from the conversation."
or at least a step in the right direction,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح,Tell him to follow the correct direction.
Are there any other managers on her level,واش كاينين موديرات خرين فنفس لموستاوا ديالها,Are there any directors who are similar to their character?
do you know people you can talk to easily?,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,Do you know people you can talk to about it?
but I don't have anything to celebrate,والاكين أنا ماعندي التا حاجا نحتافل بيها,"But me, I don't have anything special to celebrate with."
this is an excellent way to improve work relationships,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما,This is a good way to improve your relationships at work.
Feel free to come back if you still have questions.,عاود دوز ألا باقي عندك شي أسإلا.,Check again if you have any other questions left.
Are we talking about British or French politics?,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?,Do you prefer British or French politics?
You will have to get to know the kitchen better or you will slow us all down,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,"He will teach you how to cook well, or else we will all be in trouble."
"They're different sizes, colors and flavor",هوما مختالفين فلقدّ أُ فلّون أُ فلماداق,"They are different in taste, color, and texture."
If we survive maybe we can get back home early,ألا بقينا عايشين إمكن نرجعو لدّار بكري,"If we stay alive, maybe we can return home tomorrow."
Forget about the children it is too late for them,نسا عليك الدراري راه مشا عليهوم لحال,"Forget about the money, he went on his own."
But why are you walking around with a parachute on you?,والاكين مالك كاتمشّا أُ لابس ل پاراشوت?,Why are you wearing a parachute if you're not jumping?
Hug me close and we can land safely together,عنّقني مزيان أُ راه غانهبطو بيسالام مجموعين,"Hug me nicely, as he is going to greet us both."
"There is no ocean below us, only Pakistan","ماكاين التا بحر تحت منّا, هير پاكيستان","There's no sea below us, we're in Pakistan."
