eng,darija_ar,transl
It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.,They seem to be trying to stay cool.
the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم موريحين بزّاف.,The hotels don't seem to have many tourists in them.
he is probably about to be laid off by head office!,غاليبان غايجرّيو عليه من لخدما!,They will be held accountable for their actions!
"I said celery, can't you listen","ڭلت ليك لكرافس, واش ماتاتسمعش","I told you to be careful, did you not hear?"
"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?,"And if we add some spice, will they like it?"
It's been ten years,وا راه عشر سنين هادي,"Wow, it's been ten years already."
please could you just close the window,عافاك واخا تسدّ شرجم معاك,"Please, and if you could bring the charger with you."
Now he spends a lot of time home,دابا كايدووّز بزّاف تلوقت فدّار,Now they are spending a lot of time at home.
if that is what you mean,ألا كان هادشي اللي كاتقصد,Isn't this what you meant?
they would traditionally be boiled and served with vinegar,عاداتان غايتغلاو ويتحطّو معا لخلّ,They will adapt and work together to succeed.
this will be a proper moroccan meal,هادا غايكون طاباق مغريبي حورّ,This will be a traditional Moroccan dish.
"Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?","You want fries with them, right?"
basically you are under stress now,أساسان نتا تحت الضاغط دابا,"Basically, you're under pressure now."
Meanwhile you don't have a problem with your brain,فنفس لوقت ماعندكش موشكيل فدماغك,"At the same time, you don't have a worry in your mind."
she does not have enough confidence in the team,ماعندهاش تيقا كافيا فل فرقا,She doesn't have enough experience in the field.
Do you think I should take a vacation?,تايبان ليك خسّ نشدّ عوطلا?,Do you feel like you're losing weight rapidly?
Yes but the translation was wrong,أه والاكين الترجاما كانت غالطا,"Oh, but the translation was wrong."
Is your boss a lady or a man?,شف ديالك مرا أُلّا راجل?,"What's up with you, girl or guy?"
But his reviews are always justified.,والاكين لمولاحاضات ديالو ديما مبرّرين.,But the stubborn ones always find excuses.
in your work or elsewhere,فلخدما ديالك أُلّا علا برّا,Focus on your work rather than what's outside.
"No, nothing special, I think.","اللا, التا حاجة ماغريبا, فناضاري.","No, it's nothing strange, just a challenge."
